"Step","no_dist","dist"
2001,"474.50931160469815","474.695025999163"
4003,"438.0693619792402","437.3616256075646"
10009,"167.272842459537","191.78324015344606"
12011,"147.46663728255623","180.64931193210091"
14013,"152.0506616818083","165.7221222444142"
18017,"147.75926320458854","153.10647228989168"
20019,"145.82356533411803","148.79519889689251"
24023,"141.8634353543526","145.2856290874577"
26025,"146.31493119163702","148.36377180299286"
30029,"143.21730177712956","145.15156014371522"
