"Step","nodist","dist"
20000,"374.564953040014","377.79620177972373"
25000,"318.7441957990856","309.94484344262526"
30000,"352.39872027233224","323.4934371131276"
35000,"324.6723922583926","314.562676292286"
40000,"311.46640502878483","337.3723446388972"
45000,"328.73711311434175","325.14094290975464"
50000,"307.19763025323334","321.7357034389821"
60000,"301.1173948527096","270.90437990034616"
