"Step","dist","nodist"
7501,"413.0058933449155","408.13029212455564"
15003,"348.23862630513497","319.9549499622726"
22505,"254.61245312578","247.2790625012307"
30007,"219.0297807790593","222.79391782646923"
37509,"199.2410402324723","198.17146239751492"
45011,"185.45714150865473","194.5538490207608"
